agency,description,name,price
Keller Williams Realty Sonoran Living,"{'Beds': '4', 'Baths': '7', 'Sq.Ft.': '5,600'}",5 E Oakwood Hills Drive Oakwood Hills Subdivision,"$2,900,000"
Dominion Group Properties,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '7,040'}",39775 N 50th Street Cave Creek Crossing,"$2,992,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,515'}",xxx1 S Congress Way #1 3 Acre New Construction,"$585,000"
Dpr Realty Llc,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,856'}",23133 W Hammond Lane Phoenix Skyline West 3,"$1,399,999"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,751'}",11337 E Elmhurst Drive Santan Vista Unit 2A,"$2,299,000"
Keller Williams Integrity First,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '5,041'}",27618 N 42nd Street Pinnacle Vista,"$2,990,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,693'}",xxx2 S Congress Way #2 3 Acre New Construction,"$585,000"
Realty One Group,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '3,480'}",20105 W Amelia Avenue Pasqualetti Mountain Ranch Phase 4,"$1,399,900"
Kirans And Associates Realty Llc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,153'}",24007 S Lindsay Road Metes And Bounds,"$2,020,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,738'}",xxx4 S Congress Way #4 3 Acre New Construction,"$515,000"
Homesmart,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,388'}",20944 W Hillcrest Boulevard Verrado Victory District Phase 1,"$1,275,000"
Royalty Real Estate Services,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '3,363'}",4375 S Cooper Road Sectional Legal,"$1,997,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,707'}",22451 W Steel Horse Road 2 Acres,"$450,000"
West Usa Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,748'}",19709 W Clarendon Avenue Pasqualetti Mountain Ranch Phase 1 Amd,"$1,250,000"
Your Home Sold Guaranteed Realty,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,654'}",6013 W Victoria Place Trovita,"$1,895,000"
